Date,Months,Year,Product,Brand,Size,Quantity Sold,Unit Price(in Rupees),Margin (%),Profit(in Rupees),Net Profit(in Rupees),Total Revenue(in Rupees),Tax (GST % ),Tax Amount(in Rupees),Net Tax,Stock Availability,Dealer Location
07-01-2023,January,2023,Flats,Paragon,8,42,1721,0.4,689,28918,43378,0.12,207,8676,73,Delhi
07-01-2023,January,2023,Flats,Bata,8,12,1014,0.3,304,3651,8519,0.12,122,1460,83,Mumbai
07-01-2023,January,2023,Flats,Sketchers,7,38,3983,0.25,996,37834,113503,0.12,478,18161,193,Haryana
08-01-2023,January,2023,Sneakers,Nike,10,19,9547,0.15,1432,27209,154185,0.12,1146,21767,199,Mumbai
08-01-2023,January,2023,Flats,Adidas,8,18,2335,0.15,350,6303,35720,0.12,280,5043,60,Mumbai
08-01-2023,January,2023,Sandals,Adidas,10,25,7335,0.15,1100,27508,155879,0.12,880,22006,193,Mumbai
08-01-2023,January,2023,Heels,Bata,9,19,4703,0.3,1411,26807,62551,0.12,564,10723,91,Delhi
08-01-2023,January,2023,Flats,Adidas,8,11,3435,0.15,515,5668,32116,0.12,412,4534,155,Mumbai
08-01-2023,January,2023,Flats,Paragon,10,25,1167,0.4,467,11670,17505,0.12,140,3501,77,Mumbai
08-01-2023,January,2023,Sandals,Nike,9,24,5395,0.15,809,19422,110055,0.12,647,15537,139,Haryana
08-01-2023,January,2023,Sandals,Puma,7,11,5130,0.2,1026,11286,45146,0.12,616,6772,134,Mumbai
08-01-2023,January,2023,Sandals,Nike,11,27,7214,0.15,1082,29216,165556,0.12,866,23373,152,Pune
08-01-2023,January,2023,Flats,Paragon,8,11,788,0.4,315,3469,5203,0.12,95,1041,95,Delhi
08-01-2023,January,2023,Flats,Sketchers,6,16,4185,0.25,1046,16738,50215,0.12,502,8034,130,Mumbai
08-01-2023,January,2023,Sandals,Paragon,9,17,1463,0.4,585,9948,14922,0.12,176,2985,98,Pune
09-01-2023,January,2023,Sneakers,Paragon,8,10,1800,0.4,720,7199,10799,0.12,216,2160,100,Pune
09-01-2023,January,2023,Sandals,Bata,6,31,3493,0.3,1048,32481,75790,0.12,419,12992,81,Pune
09-01-2023,January,2023,Flats,Reebok,9,29,6001,0.2,1200,34808,139232,0.12,720,20885,153,Mumbai
09-01-2023,January,2023,Flats,Reebok,9,18,3151,0.2,630,11344,45375,0.12,378,6806,147,Pune
09-01-2023,January,2023,Flats,Paragon,7,49,1923,0.4,769,37686,56529,0.12,231,11306,190,Mumbai
09-01-2023,January,2023,Heels,Nike,8,28,5522,0.15,828,23193,131428,0.12,663,18554,132,Pune
10-01-2023,January,2023,Sandals,Bata,10,23,3045,0.3,913,21008,49020,0.12,365,8403,93,Mumbai
10-01-2023,January,2023,Flats,Nike,8,42,10966,0.15,1645,69087,391495,0.12,1316,55270,135,Pune
10-01-2023,January,2023,Sneakers,Metro,7,29,1899,0.3,570,16518,38541,0.12,228,6607,87,Delhi
10-01-2023,January,2023,Sneakers,Nike,7,40,10335,0.15,1550,62012,351400,0.12,1240,49609,68,Mumbai
10-01-2023,January,2023,Sandals,Bata,10,46,1778,0.3,533,24533,57243,0.12,213,9813,148,Mumbai
10-01-2023,January,2023,Sandals,Bata,7,19,3624,0.3,1087,20658,48202,0.12,435,8263,77,Delhi
10-01-2023,January,2023,Flats,Bata,7,21,4216,0.3,1265,26564,61982,0.12,506,10625,182,Mumbai
10-01-2023,January,2023,Sandals,Nike,9,25,14010,0.15,2101,52536,297705,0.12,1681,42029,166,Delhi
11-01-2023,January,2023,Flats,Bata,10,43,4952,0.3,1485,63875,149042,0.12,594,25550,131,Pune
11-01-2023,January,2023,Flats,Bata,9,42,2707,0.3,812,34108,79585,0.12,325,13643,7,Pune
11-01-2023,January,2023,Sneakers,Paragon,9,38,1148,0.4,459,17449,26174,0.12,138,5235,120,Delhi
11-01-2023,January,2023,Flats,Metro,9,41,3507,0.3,1052,43136,100650,0.12,421,17254,162,Delhi
11-01-2023,January,2023,Sneakers,Paragon,8,25,1179,0.4,472,11793,17689,0.12,142,3538,188,Mumbai
12-01-2023,January,2023,Sneakers,Adidas,7,34,7552,0.15,1133,38513,218241,0.12,906,30810,104,Mumbai
12-01-2023,January,2023,Sneakers,Bata,8,31,3170,0.3,951,29485,68799,0.12,380,11794,65,Haryana
12-01-2023,January,2023,Boots,Bata,8,47,4784,0.3,1435,67458,157402,0.12,574,26983,197,Delhi
12-01-2023,January,2023,Sandals,Liberty,6,32,1247,0.4,499,15956,23933,0.12,150,4787,157,Mumbai
13-01-2023,January,2023,Flats,Paragon,9,48,2745,0.4,1098,52695,79043,0.12,329,15808,106,Haryana
13-01-2023,January,2023,Sandals,Bata,9,11,2555,0.3,767,8433,19677,0.12,307,3373,153,Pune
13-01-2023,January,2023,Flats,Adidas,8,18,9846,0.15,1477,26584,150640,0.12,1181,21267,56,Pune
13-01-2023,January,2023,Sandals,Paragon,9,11,710,0.4,284,3123,4685,0.12,85,937,84,Haryana
13-01-2023,January,2023,Heels,Bata,7,13,2041,0.3,612,7958,18570,0.12,245,3183,104,Mumbai
13-01-2023,January,2023,Sandals,Bata,8,34,2113,0.3,634,21553,50290,0.12,254,8621,114,Haryana
13-01-2023,January,2023,Heels,Nike,9,11,11988,0.15,1798,19781,112091,0.12,1439,15824,139,Delhi
13-01-2023,January,2023,Boots,Paragon,6,12,2386,0.4,954,11451,17176,0.12,286,3435,101,Delhi
13-01-2023,January,2023,Heels,Nike,9,19,5863,0.15,879,16708,94680,0.12,704,13366,79,Haryana
13-01-2023,January,2023,Flats,Adidas,8,26,8135,0.15,1220,31727,179787,0.12,976,25382,79,Delhi
14-01-2023,January,2023,Sandals,Nike,9,11,14147,0.15,2122,23342,132271,0.12,1698,18674,146,Pune
14-01-2023,January,2023,Sandals,Paragon,7,14,1980,0.4,792,11089,16634,0.12,238,3327,112,Pune
14-01-2023,January,2023,Sneakers,Paragon,11,29,2626,0.4,1050,30458,45688,0.12,315,9138,80,Pune
14-01-2023,January,2023,Flats,Paragon,6,32,1832,0.4,733,23448,35172,0.12,220,7034,144,Pune
14-01-2023,January,2023,Sneakers,Woodland,10,31,2076,0.2,415,12871,51483,0.12,249,7722,175,Haryana
14-01-2023,January,2023,Sneakers,Bata,8,50,4566,0.3,1370,68494,159820,0.12,548,27398,89,Haryana
14-01-2023,January,2023,Sandals,Adidas,10,43,9724,0.15,1459,62719,355404,0.12,1167,50175,187,Delhi
14-01-2023,January,2023,Flats,Liberty,8,37,2564,0.4,1026,37952,56928,0.12,308,11386,118,Pune
14-01-2023,January,2023,Sandals,Puma,6,27,6349,0.2,1270,34284,137138,0.12,762,20571,168,Delhi
14-01-2023,January,2023,Flats,Paragon,10,34,1341,0.4,536,18238,27356,0.12,161,5471,133,Haryana
15-01-2023,January,2023,Sandals,Adidas,8,26,4723,0.15,708,18419,104372,0.12,567,14735,120,Pune
15-01-2023,January,2023,Flats,Nike,9,22,4027,0.15,604,13290,75312,0.12,483,10632,154,Mumbai
15-01-2023,January,2023,Sandals,Paragon,11,25,2227,0.4,891,22265,33398,0.12,267,6680,175,Pune
15-01-2023,January,2023,Sandals,Nike,6,28,5659,0.15,849,23768,134688,0.12,679,19015,112,Mumbai
15-01-2023,January,2023,Sandals,Paragon,9,33,1683,0.4,673,22218,33326,0.12,202,6665,138,Pune
15-01-2023,January,2023,Sandals,Paragon,9,31,1380,0.4,552,17106,25659,0.12,166,5132,119,Haryana
15-01-2023,January,2023,Sandals,Sketchers,7,17,4746,0.25,1186,20169,60509,0.12,569,9681,80,Mumbai
15-01-2023,January,2023,Flats,Paragon,11,21,979,0.4,392,8222,12334,0.12,117,2467,173,Mumbai
15-01-2023,January,2023,Sandals,Paragon,9,43,1992,0.4,797,34262,51393,0.12,239,10279,99,Delhi
15-01-2023,January,2023,Sandals,Puma,8,21,3162,0.2,632,13282,53130,0.12,380,7970,186,Mumbai
15-01-2023,January,2023,Sneakers,Sketchers,6,13,3990,0.25,998,12968,38904,0.12,479,6225,82,Mumbai
15-01-2023,January,2023,Flats,Metro,9,16,4491,0.3,1347,21556,50298,0.12,539,8623,5,Pune
16-01-2023,January,2023,Sandals,Bata,8,21,4862,0.3,1459,30631,71471,0.12,583,12252,172,Delhi
16-01-2023,January,2023,Sneakers,Nike,8,41,3889,0.15,583,23917,135531,0.12,467,19134,63,Pune
16-01-2023,January,2023,Sneakers,Adidas,9,29,2681,0.15,402,11664,66098,0.12,322,9331,80,Delhi
16-01-2023,January,2023,Flats,Metro,8,48,3385,0.3,1015,48737,113720,0.12,406,19495,107,Pune
16-01-2023,January,2023,Flats,Woodland,8,38,7451,0.2,1490,56628,226511,0.12,894,33977,200,Mumbai
16-01-2023,January,2023,Sandals,Reebok,9,49,2361,0.2,472,23142,92566,0.12,283,13885,75,Mumbai
16-01-2023,January,2023,Flats,Adidas,10,23,4117,0.15,618,14204,80491,0.12,494,11363,90,Delhi
17-01-2023,January,2023,Sneakers,Paragon,6,20,507,0.4,203,4054,6080,0.12,61,1216,170,Haryana
17-01-2023,January,2023,Sandals,Nike,7,28,11483,0.15,1723,48231,273307,0.12,1378,38585,166,Mumbai
17-01-2023,January,2023,Sneakers,Paragon,7,26,2470,0.4,988,25684,38525,0.12,296,7705,200,Pune
17-01-2023,January,2023,Flats,Adidas,8,17,6356,0.15,953,16209,91851,0.12,763,12967,88,Pune
17-01-2023,January,2023,Sandals,Adidas,6,13,3327,0.15,499,6488,36768,0.12,399,5191,195,Mumbai
17-01-2023,January,2023,Sandals,Bata,7,39,3755,0.3,1126,43930,102504,0.12,451,17572,153,Mumbai
17-01-2023,January,2023,Sandals,Woodland,9,41,4627,0.2,925,37938,151751,0.12,555,22763,60,Pune
18-01-2023,January,2023,Flats,Bata,9,26,1103,0.3,331,8607,20083,0.12,132,3443,197,Delhi
18-01-2023,January,2023,Flats,Nike,11,27,9915,0.15,1487,40155,227548,0.12,1190,32125,94,Mumbai
18-01-2023,January,2023,Sandals,Woodland,10,38,7496,0.2,1499,56973,227892,0.12,900,34184,199,Delhi
18-01-2023,January,2023,Sandals,Paragon,9,15,1675,0.4,670,10050,15075,0.12,201,3015,135,Haryana
18-01-2023,January,2023,Sandals,Paragon,7,20,1325,0.4,530,10596,15894,0.12,159,3179,176,Mumbai
18-01-2023,January,2023,Sandals,Paragon,8,45,592,0.4,237,10652,15977,0.12,71,3195,130,Delhi
18-01-2023,January,2023,Sandals,Bata,7,35,4460,0.3,1338,46826,109261,0.12,535,18731,188,Delhi
19-01-2023,January,2023,Sandals,Nike,7,43,7341,0.15,1101,47352,268326,0.12,881,37881,177,Mumbai
19-01-2023,January,2023,Flats,Bata,11,13,1814,0.3,544,7076,16509,0.12,218,2830,83,Pune
19-01-2023,January,2023,Sandals,Bata,10,41,1486,0.3,446,18274,42640,0.12,178,7309,111,Pune
19-01-2023,January,2023,Flats,Adidas,8,45,2109,0.15,316,14238,80685,0.12,253,11391,73,Haryana
19-01-2023,January,2023,Boots,Nike,8,17,10773,0.15,1616,27470,155663,0.12,1293,21976,177,Delhi
19-01-2023,January,2023,Flats,Reebok,9,27,4493,0.2,899,24262,97047,0.12,539,14557,170,Haryana
19-01-2023,January,2023,Boots,Bata,9,19,2534,0.3,760,14446,33707,0.12,304,5778,180,Pune
20-01-2023,January,2023,Sneakers,Nike,8,36,7078,0.15,1062,38224,216602,0.12,849,30579,118,Pune
20-01-2023,January,2023,Heels,Nike,8,29,13050,0.15,1957,56766,321675,0.12,1566,45413,5,Pune
20-01-2023,January,2023,Heels,Adidas,8,44,5875,0.15,881,38773,219715,0.12,705,31019,191,Mumbai
20-01-2023,January,2023,Flats,Paragon,8,39,2832,0.4,1133,44181,66272,0.12,340,13255,111,Delhi
20-01-2023,January,2023,Flats,Bata,7,36,1175,0.3,352,12686,29600,0.12,141,5074,171,Mumbai
20-01-2023,January,2023,Flats,Bata,8,19,2981,0.3,894,16993,39651,0.12,358,6797,82,Delhi
20-01-2023,January,2023,Flats,Paragon,8,16,2685,0.4,1074,17187,25781,0.12,322,5156,75,Haryana
20-01-2023,January,2023,Flats,Bata,6,19,2640,0.3,792,15047,35111,0.12,317,6019,89,Pune
20-01-2023,January,2023,Sneakers,Liberty,8,31,2058,0.4,823,25521,38282,0.12,247,7656,70,Mumbai
20-01-2023,January,2023,Heels,Bata,10,44,2520,0.3,756,33264,77617,0.12,302,13306,174,Mumbai
21-01-2023,January,2023,Sneakers,Paragon,6,25,2078,0.4,831,20779,31168,0.12,249,6234,108,Mumbai
21-01-2023,January,2023,Flats,Nike,8,16,12124,0.15,1819,29099,164892,0.12,1455,23279,75,Mumbai
21-01-2023,January,2023,Sandals,Adidas,10,29,9227,0.15,1384,40139,227455,0.12,1107,32111,133,Delhi
21-01-2023,January,2023,Flats,Nike,8,32,7498,0.15,1125,35991,203948,0.12,900,28793,112,Delhi
21-01-2023,January,2023,Flats,Bata,9,21,1680,0.3,504,10584,24695,0.12,202,4233,147,Delhi
21-01-2023,January,2023,Flats,Paragon,7,41,2782,0.4,1113,45626,68439,0.12,334,13688,109,Delhi
21-01-2023,January,2023,Sandals,Paragon,8,39,1138,0.4,455,17758,26637,0.12,137,5327,169,Delhi
21-01-2023,January,2023,Sandals,Paragon,9,20,685,0.4,274,5477,8216,0.12,82,1643,200,Mumbai
21-01-2023,January,2023,Sandals,Paragon,8,26,1642,0.4,657,17078,25616,0.12,197,5123,100,Mumbai
21-01-2023,January,2023,Sandals,Liberty,7,25,1453,0.4,581,14534,21801,0.12,174,4360,197,Mumbai
21-01-2023,January,2023,Sandals,Paragon,8,11,2945,0.4,1178,12957,19436,0.12,353,3887,151,Pune
21-01-2023,January,2023,Sandals,Nike,9,13,13927,0.15,2089,27158,153898,0.12,1671,21727,177,Mumbai
22-01-2023,January,2023,Flats,Puma,9,32,2705,0.2,541,17309,69236,0.12,325,10385,114,Delhi
22-01-2023,January,2023,Flats,Metro,10,18,3513,0.3,1054,18970,44264,0.12,422,7588,60,Pune
22-01-2023,January,2023,Sandals,Bata,6,47,2459,0.3,738,34678,80916,0.12,295,13871,73,Delhi
22-01-2023,January,2023,Sandals,Bata,10,36,1703,0.3,511,18388,42904,0.12,204,7355,188,Delhi
22-01-2023,January,2023,Sandals,Woodland,9,27,6983,0.2,1397,37707,150829,0.12,838,22624,173,Delhi
22-01-2023,January,2023,Flats,Reebok,10,31,6825,0.2,1365,42317,169270,0.12,819,25391,69,Haryana
22-01-2023,January,2023,Sneakers,Metro,7,35,4869,0.3,1461,51125,119293,0.12,584,20450,143,Pune
22-01-2023,January,2023,Sneakers,Bata,6,26,3146,0.3,944,24541,57262,0.12,378,9816,144,Haryana
22-01-2023,January,2023,Flats,Paragon,10,26,1961,0.4,785,20399,30598,0.12,235,6120,145,Pune
22-01-2023,January,2023,Sneakers,Paragon,7,40,563,0.4,225,9001,13502,0.12,68,2700,133,Pune
22-01-2023,January,2023,Flats,Puma,10,14,4995,0.2,999,13985,55941,0.12,599,8391,127,Haryana
22-01-2023,January,2023,Flats,Bata,7,18,1181,0.3,354,6380,14885,0.12,142,2552,127,Delhi
22-01-2023,January,2023,Sandals,Nike,7,25,13647,0.15,2047,51177,290001,0.12,1638,40941,149,Delhi
23-01-2023,January,2023,Sandals,Paragon,10,44,1548,0.4,619,27242,40862,0.12,186,8173,89,Mumbai
23-01-2023,January,2023,Sandals,Paragon,7,41,2039,0.4,816,33442,50163,0.12,245,10033,58,Delhi
23-01-2023,January,2023,Flats,Bata,7,38,2779,0.3,834,31678,73916,0.12,333,12671,142,Delhi
23-01-2023,January,2023,Sneakers,Paragon,8,44,2754,0.4,1102,48475,72712,0.12,331,14542,141,Pune
23-01-2023,January,2023,Sneakers,Bata,8,22,4873,0.3,1462,32161,75042,0.12,585,12864,73,Haryana
23-01-2023,January,2023,Flats,Adidas,10,50,6777,0.15,1017,50829,288030,0.12,813,40663,62,Delhi
23-01-2023,January,2023,Flats,Bata,7,18,4148,0.3,1244,22399,52264,0.12,498,8960,7,Delhi
24-01-2023,January,2023,Boots,Paragon,7,24,1321,0.4,529,12685,19028,0.12,159,3806,50,Delhi
24-01-2023,January,2023,Sandals,Adidas,7,44,4005,0.15,601,26434,149796,0.12,481,21148,78,Delhi
24-01-2023,January,2023,Flats,Nike,7,10,7299,0.15,1095,10948,62041,0.12,876,8759,200,Delhi
24-01-2023,January,2023,Sandals,Nike,7,26,3629,0.15,544,14152,80196,0.12,435,11322,157,Mumbai
24-01-2023,January,2023,Flats,Nike,10,14,8715,0.15,1307,18301,103708,0.12,1046,14641,142,Mumbai
24-01-2023,January,2023,Flats,Paragon,7,38,1760,0.4,704,26746,40119,0.12,211,8024,61,Pune
24-01-2023,January,2023,Flats,Paragon,9,29,1645,0.4,658,19083,28625,0.12,197,5725,65,Delhi
24-01-2023,January,2023,Sandals,Bata,8,16,2961,0.3,888,14213,33164,0.12,355,5685,68,Haryana
24-01-2023,January,2023,Sneakers,Bata,9,19,1263,0.3,379,7198,16794,0.12,152,2879,199,Delhi
25-01-2023,January,2023,Flats,Bata,8,48,3122,0.3,937,44960,104907,0.12,375,17984,179,Haryana
25-01-2023,January,2023,Flats,Bata,7,17,4411,0.3,1323,22497,52493,0.12,529,8999,191,Pune
25-01-2023,January,2023,Flats,Adidas,8,38,9105,0.15,1366,51897,294083,0.12,1093,41518,136,Haryana
25-01-2023,January,2023,Heels,Bata,8,36,3918,0.3,1176,42319,98745,0.12,470,16928,159,Mumbai
25-01-2023,January,2023,Sandals,Paragon,8,33,2884,0.4,1154,38068,57103,0.12,346,11421,171,Pune
25-01-2023,January,2023,Sneakers,Nike,6,15,8183,0.15,1227,18411,104327,0.12,982,14728,145,Mumbai
25-01-2023,January,2023,Flats,Adidas,9,13,6692,0.15,1004,13049,73943,0.12,803,10439,193,Pune
25-01-2023,January,2023,Sandals,Paragon,7,36,1384,0.4,554,19930,29894,0.12,166,5979,158,Pune
26-01-2023,January,2023,Sandals,Paragon,8,32,759,0.4,304,9715,14573,0.12,91,2915,104,Pune
26-01-2023,January,2023,Sneakers,Paragon,9,24,2618,0.4,1047,25135,37702,0.12,314,7540,192,Mumbai
26-01-2023,January,2023,Sandals,Nike,11,27,9889,0.15,1483,40051,226957,0.12,1187,32041,193,Haryana
26-01-2023,January,2023,Flats,Paragon,9,45,566,0.4,226,10181,15272,0.12,68,3055,118,Pune
27-01-2023,January,2023,Sneakers,Sketchers,10,29,5647,0.25,1412,40940,122821,0.12,678,19651,51,Mumbai
27-01-2023,January,2023,Sneakers,Adidas,9,35,2557,0.15,384,13422,76061,0.12,307,10738,57,Mumbai
27-01-2023,January,2023,Sneakers,Paragon,9,23,1440,0.4,576,13253,19879,0.12,173,3976,137,Haryana
27-01-2023,January,2023,Sneakers,Bata,8,30,4107,0.3,1232,36966,86254,0.12,493,14786,71,Pune
27-01-2023,January,2023,Sneakers,Adidas,7,49,2398,0.15,360,17626,99881,0.12,288,14101,119,Delhi
27-01-2023,January,2023,Sandals,Paragon,8,41,2018,0.4,807,33090,49635,0.12,242,9927,119,Haryana
27-01-2023,January,2023,Boots,Metro,9,17,2381,0.3,714,12142,28330,0.12,286,4857,122,Delhi
27-01-2023,January,2023,Flats,Paragon,9,41,1817,0.4,727,29805,44706,0.12,218,8941,61,Mumbai
28-01-2023,January,2023,Sandals,Paragon,6,10,1011,0.4,404,4044,6066,0.12,121,1213,85,Delhi
28-01-2023,January,2023,Flats,Sketchers,8,30,2040,0.25,510,15299,45898,0.12,245,7344,160,Haryana
28-01-2023,January,2023,Sneakers,Adidas,8,44,7629,0.15,1144,50354,285338,0.12,916,40283,193,Pune
28-01-2023,January,2023,Heels,Paragon,8,14,1493,0.4,597,8359,12539,0.12,179,2508,60,Mumbai
28-01-2023,January,2023,Sandals,Nike,8,14,13345,0.15,2002,28025,158809,0.12,1601,22420,79,Pune
28-01-2023,January,2023,Flats,Bata,10,50,2671,0.3,801,40062,93478,0.12,320,16024,153,Delhi
28-01-2023,January,2023,Sneakers,Bata,7,49,2840,0.3,852,41754,97425,0.12,341,16702,142,Mumbai
28-01-2023,January,2023,Sneakers,Bata,7,25,2743,0.3,823,20570,47998,0.12,329,8228,184,Mumbai
28-01-2023,January,2023,Sneakers,Bata,8,31,1886,0.3,566,17543,40932,0.12,226,7017,93,Mumbai
28-01-2023,January,2023,Sneakers,Woodland,10,17,5184,0.2,1037,17624,70497,0.12,622,10575,139,Delhi
29-01-2023,January,2023,Flats,Paragon,7,25,757,0.4,303,7570,11355,0.12,91,2271,100,Delhi
29-01-2023,January,2023,Sneakers,Paragon,7,14,943,0.4,377,5280,7920,0.12,113,1584,176,Mumbai
29-01-2023,January,2023,Sandals,Metro,9,47,2796,0.3,839,39418,91976,0.12,335,15767,132,Pune
29-01-2023,January,2023,Heels,Paragon,8,19,1599,0.4,640,12155,18233,0.12,192,3647,163,Haryana
29-01-2023,January,2023,Flats,Reebok,8,47,2337,0.2,467,21968,87872,0.12,280,13181,68,Pune
29-01-2023,January,2023,Sandals,Bata,8,12,1228,0.3,368,4419,10311,0.12,147,1768,69,Mumbai
29-01-2023,January,2023,Flats,Nike,9,48,9085,0.15,1363,65411,370660,0.12,1090,52329,198,Haryana
